endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,500,2180,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,500,2459,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,200,2111,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,200,2969,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,25348,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,16418,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,11876,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,401,94,NA,Invalid Date,,true
/rest/V1/categorylist/42,POST,200,2702,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,200,3873,abcd,Invalid Date,,
