endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,200,2320,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,1314,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,2007,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,24936,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,19164,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2412,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,2429,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,303,130,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,91,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2241,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2436,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,6712,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,128,NA,Invalid Date,NA,true
/rest/V1/categorylist/42,POST,401,140,NA,Invalid Date,NA,true
/rest/V1/categorylist/42,POST,200,24138,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,20238,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,20001,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,19337,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,20406,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,24259,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,2180,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,2459,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2111,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2969,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,25348,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,16418,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,11876,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,94,NA,Invalid Date,NA,true
/rest/V1/categorylist/42,POST,200,2702,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,3873,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,83,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,83,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,S-401,115,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,120,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,116,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,401,132,NA,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,5232,abcd,Invalid Date,NA,NA
NA,POST,405,174,abcd,Invalid Date,NA,NA
NA,POST,405,209,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,25366,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,20356,abcd,Invalid Date,NA,NA
NA,POST,405,363,abcd,Invalid Date,NA,NA
NA,POST,500,33675,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,11198,abcd,Invalid Date,NA,NA
NA,POST,405,299,abcd,Invalid Date,NA,NA
NA,POST,405,344,abcd,Invalid Date,NA,NA
NA,POST,405,319,abcd,Invalid Date,NA,NA
NA,POST,405,291,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,13249,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,10788,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,25404,abcd,Invalid Date,NA,NA
NA,POST,405,307,abcd,Invalid Date,NA,NA
NA,POST,405,323,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2398,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,1623,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,2160,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,2081,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,2561,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,15814,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,9696,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,500,14478,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,4540,abcd,Invalid Date,NA,NA
NA,POST,405,300,abcd,Invalid Date,NA,NA
NA,POST,405,302,abcd,Invalid Date,NA,NA
NA,POST,405,317,abcd,Invalid Date,NA,NA
NA,POST,405,369,abcd,Invalid Date,NA,NA
NA,GET,200,5166,abcd,Invalid Date,NA,NA
NA,POST,405,327,abcd,Invalid Date,NA,NA
NA,POST,405,309,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,3343,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,3069,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,3274,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,3301,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,9670,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2781,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,6382,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2596,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,6429,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,15179,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2372,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2365,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2439,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,5401,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2545,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2554,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,504,20455,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2972,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2528,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2339,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2660,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,6830,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,3122,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2210,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2619,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2202,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2426,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2466,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2667,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,200,2406,abcd,Invalid Date,NA,NA
/rest/V1/categorylist/42,POST,404,224,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,3856,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,3977,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,3936,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,4359,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,3700,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,4188,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,4168,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,4084,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,4811,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,4647,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,1913,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,1615,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,1653,abcd,Invalid Date,NA,NA
/rest/V1/productview/420_1846WY004_5_RED,POST,500,1798,abcd,Invalid Date,NA,NA
