endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/api/hotels/autosuggest/france,POST,404,343,abcd,Thu Sep 30 2021 17:08:43 GMT+0530 (India Standard Time),,404
/api/hotels/autosuggest/france,POST,404,378,abcd,Thu Sep 30 2021 17:00:03 GMT+0530 (India Standard Time),,404
/api/hotels/autosuggest/france,POST,404,335,abcd,Thu Sep 30 2021 16:54:41 GMT+0530 (India Standard Time),,404
/api/hotels/autosuggest/france,POST,404,316,abcd,Thu Sep 30 2021 16:52:54 GMT+0530 (India Standard Time),,404
/api/hotels/autosuggest/france,POST,404,314,abcd,Thu Sep 30 2021 16:52:29 GMT+0530 (India Standard Time),,404
/api/hotels/autosuggest/france,POST,404,315,abcd,Thu Sep 30 2021 16:50:57 GMT+0530 (India Standard Time),,404
/api/hotels/autosuggest/france,POST,401,209,abcd,Thu Sep 30 2021 16:50:13 GMT+0530 (India Standard Time),,401
/rest/V1/categorylist/42,POST,200,1791,abcd,Thu Sep 30 2021 15:02:17 GMT+0530 (India Standard Time),200,
/rest/V1/categorylist/42,POST,200,4327,abcd,Thu Sep 30 2021 14:57:09 GMT+0530 (India Standard Time),200,
/rest/V1/categorylist/42,POST,200,2194,abcd,Thu Sep 30 2021 14:35:46 GMT+0530 (India Standard Time),200,
