endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
NA,POST,405,327,abcd,Invalid Date,,
NA,POST,405,309,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,3343,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,3069,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,3274,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,3301,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,9670,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2781,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,6382,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2596,abcd,Invalid Date,,
