endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
NA,POST,405,174,abcd,Invalid Date,,
NA,POST,405,209,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,504,25366,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,504,20356,abcd,Invalid Date,,
NA,POST,405,363,abcd,Invalid Date,,
NA,POST,500,33675,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,500,11198,abcd,Invalid Date,,
NA,POST,405,299,abcd,Invalid Date,,
NA,POST,405,344,abcd,Invalid Date,,
NA,POST,405,319,abcd,Invalid Date,,
