endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,200,2320,abcd,Wed Sep 29 2021 11:43:19 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,401,1314,abcd,Wed Sep 29 2021 11:02:17 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,401,2007,abcd,Wed Sep 29 2021 10:55:48 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,504,24936,abcd,Wed Sep 29 2021 09:59:55 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,504,19164,abcd,Wed Sep 29 2021 09:58:59 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,200,2412,abcd,Wed Sep 29 2021 09:56:29 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,500,2429,abcd,Wed Sep 29 2021 09:52:22 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,303,130,NA,Wed Sep 29 2021 09:43:25 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,401,91,NA,Wed Sep 29 2021 09:09:18 GMT+0530 (India Standard Time),NA,NA
/rest/V1/categorylist/42,POST,200,2241,abcd,Wed Sep 29 2021 09:08:02 GMT+0530 (India Standard Time),NA,NA
