endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,200,6429,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,504,15179,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2372,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2365,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2439,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,5401,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2545,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2554,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,504,20455,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2972,abcd,Invalid Date,,
