endpoint_url,method,status,response_time_in_milliseconds,client,request_on
/rest/V1/categorylist/42,POST,504,25366,abcd,Tue Sep 14 2021 21:12:59 GMT+0530 (India Standard Time)
/rest/V1/categorylist/42,POST,504,20356,abcd,Tue Sep 14 2021 21:12:29 GMT+0530 (India Standard Time)
,POST,405,363,abcd,Tue Sep 14 2021 21:11:18 GMT+0530 (India Standard Time)
,POST,500,33675,abcd,Tue Sep 14 2021 20:18:43 GMT+0530 (India Standard Time)
/rest/V1/categorylist/42,POST,500,11198,abcd,Tue Sep 14 2021 20:18:03 GMT+0530 (India Standard Time)
,POST,405,299,abcd,Tue Sep 14 2021 20:17:15 GMT+0530 (India Standard Time)
,POST,405,344,abcd,Tue Sep 14 2021 20:12:52 GMT+0530 (India Standard Time)
,POST,405,319,abcd,Tue Sep 14 2021 20:11:36 GMT+0530 (India Standard Time)
,POST,405,291,abcd,Tue Sep 14 2021 20:08:24 GMT+0530 (India Standard Time)
/rest/V1/categorylist/42,POST,200,13249,abcd,Tue Sep 14 2021 20:08:12 GMT+0530 (India Standard Time)
