endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,504,20356,abcd,Invalid Date,,
NA,POST,405,363,abcd,Invalid Date,,
NA,POST,500,33675,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,500,11198,abcd,Invalid Date,,
NA,POST,405,299,abcd,Invalid Date,,
NA,POST,405,344,abcd,Invalid Date,,
NA,POST,405,319,abcd,Invalid Date,,
NA,POST,405,291,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,13249,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,500,10788,abcd,Invalid Date,,
