endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,200,2436,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,6712,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,401,128,NA,Invalid Date,,true
/rest/V1/categorylist/42,POST,401,140,NA,Invalid Date,,true
/rest/V1/categorylist/42,POST,200,24138,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,20238,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,20001,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,19337,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,20406,abcd,Invalid Date,,false
/rest/V1/categorylist/42,POST,504,24259,abcd,Invalid Date,,false
